pokemon_id,move_id,pokemon_name,move_name
1,13,bulbasaur,razor-wind
1,14,bulbasaur,swords-dance
1,15,bulbasaur,cut
1,20,bulbasaur,bind
1,22,bulbasaur,vine-whip
1,29,bulbasaur,headbutt
1,33,bulbasaur,tackle
1,34,bulbasaur,body-slam
1,36,bulbasaur,take-down
1,38,bulbasaur,double-edge
1,45,bulbasaur,growl
1,70,bulbasaur,strength
1,72,bulbasaur,mega-drain
1,73,bulbasaur,leech-seed
1,74,bulbasaur,growth
1,75,bulbasaur,razor-leaf
1,76,bulbasaur,solar-beam
1,77,bulbasaur,poison-powder
1,79,bulbasaur,sleep-powder
1,80,bulbasaur,petal-dance
1,81,bulbasaur,string-shot
1,92,bulbasaur,toxic
1,99,bulbasaur,rage
1,102,bulbasaur,mimic
1,104,bulbasaur,double-team
1,111,bulbasaur,defense-curl
1,113,bulbasaur,light-screen
1,115,bulbasaur,reflect
1,117,bulbasaur,bide
1,124,bulbasaur,sludge
1,130,bulbasaur,skull-bash
1,133,bulbasaur,amnesia
1,148,bulbasaur,flash
1,156,bulbasaur,rest
1,164,bulbasaur,substitute
1,173,bulbasaur,snore
1,174,bulbasaur,curse
1,182,bulbasaur,protect
1,188,bulbasaur,sludge-bomb
1,189,bulbasaur,mud-slap
1,200,bulbasaur,outrage
1,202,bulbasaur,giga-drain
1,203,bulbasaur,endure
1,204,bulbasaur,charm
1,206,bulbasaur,false-swipe
1,207,bulbasaur,swagger
1,210,bulbasaur,fury-cutter
1,213,bulbasaur,attract
1,214,bulbasaur,sleep-talk
1,216,bulbasaur,return
1,218,bulbasaur,frustration
1,219,bulbasaur,safeguard
1,230,bulbasaur,sweet-scent
1,235,bulbasaur,synthesis
1,237,bulbasaur,hidden-power
1,241,bulbasaur,sunny-day
1,249,bulbasaur,rock-smash
1,263,bulbasaur,facade
1,267,bulbasaur,nature-power
1,270,bulbasaur,helping-hand
1,275,bulbasaur,ingrain
1,282,bulbasaur,knock-off
1,290,bulbasaur,secret-power
1,311,bulbasaur,weather-ball
1,320,bulbasaur,grass-whistle
1,331,bulbasaur,bullet-seed
1,345,bulbasaur,magical-leaf
1,363,bulbasaur,natural-gift
1,388,bulbasaur,worry-seed
1,402,bulbasaur,seed-bomb
1,412,bulbasaur,energy-ball
1,437,bulbasaur,leaf-storm
1,438,bulbasaur,power-whip
1,445,bulbasaur,captivate
1,447,bulbasaur,grass-knot
1,474,bulbasaur,venoshock
1,491,bulbasaur,acid-spray
1,496,bulbasaur,round
1,497,bulbasaur,echoed-voice
1,520,bulbasaur,grass-pledge
1,526,bulbasaur,work-up
1,580,bulbasaur,grassy-terrain
1,590,bulbasaur,confide
1,803,bulbasaur,grassy-glide
1,851,bulbasaur,tera-blast
1,885,bulbasaur,trailblaze
2,14,ivysaur,swords-dance
2,15,ivysaur,cut
2,20,ivysaur,bind
2,22,ivysaur,vine-whip
2,29,ivysaur,headbutt
2,33,ivysaur,tackle
2,34,ivysaur,body-slam
2,36,ivysaur,take-down
2,38,ivysaur,double-edge
2,45,ivysaur,growl
2,46,ivysaur,roar
2,70,ivysaur,strength
2,72,ivysaur,mega-drain
2,73,ivysaur,leech-seed
2,74,ivysaur,growth
2,75,ivysaur,razor-leaf
2,76,ivysaur,solar-beam
2,77,ivysaur,poison-powder
2,79,ivysaur,sleep-powder
2,80,ivysaur,petal-dance
2,81,ivysaur,string-shot
2,92,ivysaur,toxic
2,99,ivysaur,rage
2,102,ivysaur,mimic
2,104,ivysaur,double-team
2,111,ivysaur,defense-curl
2,113,ivysaur,light-screen
2,115,ivysaur,reflect
2,117,ivysaur,bide
2,133,ivysaur,amnesia
2,148,ivysaur,flash
2,156,ivysaur,rest
2,164,ivysaur,substitute
2,173,ivysaur,snore
2,174,ivysaur,curse
2,182,ivysaur,protect
2,188,ivysaur,sludge-bomb
2,189,ivysaur,mud-slap
2,200,ivysaur,outrage
2,202,ivysaur,giga-drain
2,203,ivysaur,endure
2,204,ivysaur,charm
2,206,ivysaur,false-swipe
2,207,ivysaur,swagger
2,210,ivysaur,fury-cutter
2,213,ivysaur,attract
2,214,ivysaur,sleep-talk
2,216,ivysaur,return
2,218,ivysaur,frustration
2,219,ivysaur,safeguard
2,230,ivysaur,sweet-scent
2,235,ivysaur,synthesis
2,237,ivysaur,hidden-power
2,241,ivysaur,sunny-day
2,249,ivysaur,rock-smash
2,263,ivysaur,facade
2,267,ivysaur,nature-power
2,270,ivysaur,helping-hand
2,275,ivysaur,ingrain
2,282,ivysaur,knock-off
2,290,ivysaur,secret-power
2,311,ivysaur,weather-ball
2,331,ivysaur,bullet-seed
2,345,ivysaur,magical-leaf
2,363,ivysaur,natural-gift
2,388,ivysaur,worry-seed
2,402,ivysaur,seed-bomb
2,412,ivysaur,energy-ball
2,437,ivysaur,leaf-storm
2,438,ivysaur,power-whip
2,445,ivysaur,captivate
2,447,ivysaur,grass-knot
2,474,ivysaur,venoshock
2,491,ivysaur,acid-spray
2,496,ivysaur,round
2,497,ivysaur,echoed-voice
2,520,ivysaur,grass-pledge
2,526,ivysaur,work-up
2,580,ivysaur,grassy-terrain
2,590,ivysaur,confide
2,803,ivysaur,grassy-glide
2,851,ivysaur,tera-blast
2,885,ivysaur,trailblaze
3,14,venusaur,swords-dance
3,15,venusaur,cut
3,20,venusaur,bind
3,22,venusaur,vine-whip
3,29,venusaur,headbutt
3,33,venusaur,tackle
3,34,venusaur,body-slam
3,36,venusaur,take-down
3,38,venusaur,double-edge
3,45,venusaur,growl
3,46,venusaur,roar
3,63,venusaur,hyper-beam
3,70,venusaur,strength
3,72,venusaur,mega-drain
3,73,venusaur,leech-seed
3,74,venusaur,growth
3,75,venusaur,razor-leaf
3,76,venusaur,solar-beam
3,77,venusaur,poison-powder
3,79,venusaur,sleep-powder
3,80,venusaur,petal-dance
3,81,venusaur,string-shot
3,89,venusaur,earthquake
3,92,venusaur,toxic
3,99,venusaur,rage
3,102,venusaur,mimic
3,104,venusaur,double-team
3,111,venusaur,defense-curl
3,113,venusaur,light-screen
3,115,venusaur,reflect
3,117,venusaur,bide
3,133,venusaur,amnesia
3,148,venusaur,flash
3,156,venusaur,rest
3,164,venusaur,substitute
3,173,venusaur,snore
3,174,venusaur,curse
3,182,venusaur,protect
3,184,venusaur,scary-face
3,188,venusaur,sludge-bomb
3,189,venusaur,mud-slap
3,200,venusaur,outrage
3,202,venusaur,giga-drain
3,203,venusaur,endure
3,204,venusaur,charm
3,206,venusaur,false-swipe
3,207,venusaur,swagger
3,210,venusaur,fury-cutter
3,213,venusaur,attract
3,214,venusaur,sleep-talk
3,216,venusaur,return
3,218,venusaur,frustration
3,219,venusaur,safeguard
3,230,venusaur,sweet-scent
3,235,venusaur,synthesis
3,237,venusaur,hidden-power
3,241,venusaur,sunny-day
3,249,venusaur,rock-smash
3,263,venusaur,facade
3,267,venusaur,nature-power
3,270,venusaur,helping-hand
3,275,venusaur,ingrain
3,282,venusaur,knock-off
