id,name,base_experience,height,weight,hp,attack,defense,special-attack,special-defense,speed,is_baby,is_mythical,is_legendary
1,bulbasaur,64,7,69,45,49,49,65,65,45,False,False,False
2,ivysaur,142,10,130,60,62,63,80,80,60,False,False,False
3,venusaur,236,20,1000,80,82,83,100,100,80,False,False,False
4,charmander,62,6,85,39,52,43,60,50,65,False,False,False
5,charmeleon,142,11,190,58,64,58,80,65,80,False,False,False
6,charizard,240,17,905,78,84,78,109,85,100,False,False,False
7,squirtle,63,5,90,44,48,65,50,64,43,False,False,False
8,wartortle,142,10,225,59,63,80,65,80,58,False,False,False
9,blastoise,239,16,855,79,83,100,85,105,78,False,False,False
10,caterpie,39,3,29,45,30,35,20,20,45,False,False,False
11,metapod,72,7,99,50,20,55,25,25,30,False,False,False
12,butterfree,178,11,320,60,45,50,90,80,70,False,False,False
13,weedle,39,3,32,40,35,30,20,20,50,False,False,False
14,kakuna,72,6,100,45,25,50,25,25,35,False,False,False
15,beedrill,178,10,295,65,90,40,45,80,75,False,False,False
16,pidgey,50,3,18,40,45,40,35,35,56,False,False,False
17,pidgeotto,122,11,300,63,60,55,50,50,71,False,False,False
18,pidgeot,216,15,395,83,80,75,70,70,101,False,False,False
19,rattata,51,3,35,30,56,35,25,35,72,False,False,False
20,raticate,145,7,185,55,81,60,50,70,97,False,False,False
21,spearow,52,3,20,40,60,30,31,31,70,False,False,False
22,fearow,155,12,380,65,90,65,61,61,100,False,False,False
23,ekans,58,20,69,35,60,44,40,54,55,False,False,False
24,arbok,157,35,650,60,95,69,65,79,80,False,False,False
25,pikachu,112,4,60,35,55,40,50,50,90,False,False,False
26,raichu,218,8,300,60,90,55,90,80,110,False,False,False
27,sandshrew,60,6,120,50,75,85,20,30,40,False,False,False
28,sandslash,158,10,295,75,100,110,45,55,65,False,False,False
29,nidoran-f,55,4,70,55,47,52,40,40,41,False,False,False
30,nidorina,128,8,200,70,62,67,55,55,56,False,False,False
31,nidoqueen,227,13,600,90,92,87,75,85,76,False,False,False
32,nidoran-m,55,5,90,46,57,40,40,40,50,False,False,False
33,nidorino,128,9,195,61,72,57,55,55,65,False,False,False
34,nidoking,227,14,620,81,102,77,85,75,85,False,False,False
35,clefairy,113,6,75,70,45,48,60,65,35,False,False,False
36,clefable,217,13,400,95,70,73,95,90,60,False,False,False
37,vulpix,60,6,99,38,41,40,50,65,65,False,False,False
38,ninetales,177,11,199,73,76,75,81,100,100,False,False,False
39,jigglypuff,95,5,55,115,45,20,45,25,20,False,False,False
40,wigglytuff,196,10,120,140,70,45,85,50,45,False,False,False
41,zubat,49,8,75,40,45,35,30,40,55,False,False,False
42,golbat,159,16,550,75,80,70,65,75,90,False,False,False
43,oddish,64,5,54,45,50,55,75,65,30,False,False,False
44,gloom,138,8,86,60,65,70,85,75,40,False,False,False
45,vileplume,221,12,186,75,80,85,110,90,50,False,False,False
46,paras,57,3,54,35,70,55,45,55,25,False,False,False
47,parasect,142,10,295,60,95,80,60,80,30,False,False,False
48,venonat,61,10,300,60,55,50,40,55,45,False,False,False
49,venomoth,158,15,125,70,65,60,90,75,90,False,False,False
50,diglett,53,2,8,10,55,25,35,45,95,False,False,False
51,dugtrio,149,7,333,35,100,50,50,70,120,False,False,False
