pokemon_id,region_id,pokemon_name,region_name
1,31,bulbasaur,lets-go-pikachu
1,3,bulbasaur,yellow
1,1,bulbasaur,red
1,15,bulbasaur,heartgold
1,23,bulbasaur,x
1,44,bulbasaur,red-japan
1,32,bulbasaur,lets-go-eevee
1,50,bulbasaur,the-isle-of-armor-shield
1,2,bulbasaur,blue
1,35,bulbasaur,the-isle-of-armor-sword
1,45,bulbasaur,green-japan
1,10,bulbasaur,firered
1,30,bulbasaur,ultra-moon
1,24,bulbasaur,y
1,29,bulbasaur,ultra-sun
1,16,bulbasaur,soulsilver
1,11,bulbasaur,leafgreen
2,23,ivysaur,x
2,24,ivysaur,y
2,36,ivysaur,the-crown-tundra-sword
2,51,ivysaur,the-crown-tundra-shield
3,50,venusaur,the-isle-of-armor-shield
3,35,venusaur,the-isle-of-armor-sword
4,31,charmander,lets-go-pikachu
4,1,charmander,red
4,15,charmander,heartgold
4,3,charmander,yellow
4,23,charmander,x
4,33,charmander,sword
4,34,charmander,shield
4,44,charmander,red-japan
4,32,charmander,lets-go-eevee
4,2,charmander,blue
4,45,charmander,green-japan
4,10,charmander,firered
4,30,charmander,ultra-moon
4,24,charmander,y
4,29,charmander,ultra-sun
4,16,charmander,soulsilver
4,11,charmander,leafgreen
5,23,charmeleon,x
5,33,charmeleon,sword
5,34,charmeleon,shield
5,24,charmeleon,y
5,36,charmeleon,the-crown-tundra-sword
5,51,charmeleon,the-crown-tundra-shield
6,31,charizard,lets-go-pikachu
6,33,charizard,sword
6,34,charizard,shield
6,32,charizard,lets-go-eevee
6,50,charizard,the-isle-of-armor-shield
6,35,charizard,the-isle-of-armor-sword
7,31,squirtle,lets-go-pikachu
7,3,squirtle,yellow
7,1,squirtle,red
7,15,squirtle,heartgold
7,23,squirtle,x
7,44,squirtle,red-japan
7,32,squirtle,lets-go-eevee
7,50,squirtle,the-isle-of-armor-shield
7,2,squirtle,blue
7,35,squirtle,the-isle-of-armor-sword
7,45,squirtle,green-japan
7,10,squirtle,firered
7,30,squirtle,ultra-moon
