pokemon_id,type_id,pokemon_name,type_name
1,12,bulbasaur,grass
1,4,bulbasaur,poison
2,12,ivysaur,grass
2,4,ivysaur,poison
3,12,venusaur,grass
3,4,venusaur,poison
4,10,charmander,fire
5,10,charmeleon,fire
6,10,charizard,fire
6,3,charizard,flying
7,11,squirtle,water
8,11,wartortle,water
9,11,blastoise,water
10,7,caterpie,bug
11,7,metapod,bug
12,7,butterfree,bug
12,3,butterfree,flying
13,7,weedle,bug
13,4,weedle,poison
14,7,kakuna,bug
14,4,kakuna,poison
15,7,beedrill,bug
15,4,beedrill,poison
16,1,pidgey,normal
16,3,pidgey,flying
17,1,pidgeotto,normal
17,3,pidgeotto,flying
18,1,pidgeot,normal
18,3,pidgeot,flying
19,1,rattata,normal
20,1,raticate,normal
21,1,spearow,normal
21,3,spearow,flying
22,1,fearow,normal
22,3,fearow,flying
23,4,ekans,poison
24,4,arbok,poison
25,13,pikachu,electric
26,13,raichu,electric
27,5,sandshrew,ground
28,5,sandslash,ground
29,4,nidoran-f,poison
30,4,nidorina,poison
31,4,nidoqueen,poison
31,5,nidoqueen,ground
32,4,nidoran-m,poison
33,4,nidorino,poison
34,4,nidoking,poison
34,5,nidoking,ground
35,18,clefairy,fairy
36,18,clefable,fairy
37,10,vulpix,fire
38,10,ninetales,fire
39,1,jigglypuff,normal
39,18,jigglypuff,fairy
40,1,wigglytuff,normal
40,18,wigglytuff,fairy
41,4,zubat,poison
41,3,zubat,flying
42,4,golbat,poison
42,3,golbat,flying
43,12,oddish,grass
43,4,oddish,poison
44,12,gloom,grass
44,4,gloom,poison
45,12,vileplume,grass
45,4,vileplume,poison
46,7,paras,bug
46,12,paras,grass
47,7,parasect,bug
47,12,parasect,grass
48,7,venonat,bug
48,4,venonat,poison
49,7,venomoth,bug
49,4,venomoth,poison
50,5,diglett,ground
51,5,dugtrio,ground
52,1,meowth,normal
53,1,persian,normal
54,11,psyduck,water
55,11,golduck,water
56,2,mankey,fighting
57,2,primeape,fighting
58,10,growlithe,fire
59,10,arcanine,fire
60,11,poliwag,water
61,11,poliwhirl,water
62,11,poliwrath,water
62,2,poliwrath,fighting
63,14,abra,psychic
64,14,kadabra,psychic
65,14,alakazam,psychic
66,2,machop,fighting
67,2,machoke,fighting
68,2,machamp,fighting
69,12,bellsprout,grass
69,4,bellsprout,poison
70,12,weepinbell,grass
70,4,weepinbell,poison
71,12,victreebel,grass
71,4,victreebel,poison
72,11,tentacool,water
72,4,tentacool,poison
73,11,tentacruel,water
73,4,tentacruel,poison
74,6,geodude,rock
74,5,geodude,ground
75,6,graveler,rock
75,5,graveler,ground
76,6,golem,rock
76,5,golem,ground
77,10,ponyta,fire
78,10,rapidash,fire
79,11,slowpoke,water
79,14,slowpoke,psychic
80,11,slowbro,water
80,14,slowbro,psychic
81,13,magnemite,electric
81,9,magnemite,steel
82,13,magneton,electric
82,9,magneton,steel
83,1,farfetchd,normal
83,3,farfetchd,flying
84,1,doduo,normal
84,3,doduo,flying
85,1,dodrio,normal
85,3,dodrio,flying
86,11,seel,water
87,11,dewgong,water
87,15,dewgong,ice
88,4,grimer,poison
89,4,muk,poison
90,11,shellder,water
91,11,cloyster,water
91,15,cloyster,ice
92,8,gastly,ghost
92,4,gastly,poison
93,8,haunter,ghost
93,4,haunter,poison
94,8,gengar,ghost
94,4,gengar,poison
95,6,onix,rock
95,5,onix,ground
96,14,drowzee,psychic
97,14,hypno,psychic
98,11,krabby,water
99,11,kingler,water
100,13,voltorb,electric
101,13,electrode,electric
102,12,exeggcute,grass
102,14,exeggcute,psychic
103,12,exeggutor,grass
103,14,exeggutor,psychic
104,5,cubone,ground
105,5,marowak,ground
106,2,hitmonlee,fighting
107,2,hitmonchan,fighting
108,1,lickitung,normal
109,4,koffing,poison
110,4,weezing,poison
111,5,rhyhorn,ground
111,6,rhyhorn,rock
112,5,rhydon,ground
112,6,rhydon,rock
113,1,chansey,normal
114,12,tangela,grass
115,1,kangaskhan,normal
116,11,horsea,water
117,11,seadra,water
118,11,goldeen,water
119,11,seaking,water
120,11,staryu,water
121,11,starmie,water
121,14,starmie,psychic
122,14,mr-mime,psychic
122,18,mr-mime,fairy
123,7,scyther,bug
123,3,scyther,flying
124,15,jynx,ice
124,14,jynx,psychic
125,13,electabuzz,electric
126,10,magmar,fire
127,7,pinsir,bug
128,1,tauros,normal
129,11,magikarp,water
130,11,gyarados,water
130,3,gyarados,flying
131,11,lapras,water
131,15,lapras,ice
132,1,ditto,normal
133,1,eevee,normal
134,11,vaporeon,water
135,13,jolteon,electric
136,10,flareon,fire
137,1,porygon,normal
138,6,omanyte,rock
138,11,omanyte,water
139,6,omastar,rock
139,11,omastar,water
140,6,kabuto,rock
140,11,kabuto,water
141,6,kabutops,rock
141,11,kabutops,water
142,6,aerodactyl,rock
142,3,aerodactyl,flying
143,1,snorlax,normal
144,15,articuno,ice
144,3,articuno,flying
145,13,zapdos,electric
145,3,zapdos,flying
146,10,moltres,fire
146,3,moltres,flying
147,16,dratini,dragon
148,16,dragonair,dragon
149,16,dragonite,dragon
149,3,dragonite,flying
150,14,mewtwo,psychic
151,14,mew,psychic
152,12,chikorita,grass
153,12,bayleef,grass
154,12,meganium,grass
155,10,cyndaquil,fire
156,10,quilava,fire
157,10,typhlosion,fire
158,11,totodile,water
159,11,croconaw,water
160,11,feraligatr,water
161,1,sentret,normal
162,1,furret,normal
163,1,hoothoot,normal
163,3,hoothoot,flying
164,1,noctowl,normal
164,3,noctowl,flying
165,7,ledyba,bug
165,3,ledyba,flying
166,7,ledian,bug
166,3,ledian,flying
167,7,spinarak,bug
167,4,spinarak,poison
168,7,ariados,bug
168,4,ariados,poison
169,4,crobat,poison
169,3,crobat,flying
170,11,chinchou,water
170,13,chinchou,electric
171,11,lanturn,water
171,13,lanturn,electric
172,13,pichu,electric
173,18,cleffa,fairy
174,1,igglybuff,normal
174,18,igglybuff,fairy
175,18,togepi,fairy
176,18,togetic,fairy
176,3,togetic,flying
177,14,natu,psychic
177,3,natu,flying
178,14,xatu,psychic
178,3,xatu,flying
179,13,mareep,electric
180,13,flaaffy,electric
